layer,iteration,mean_ir_pwr,min_ir_pwr,max_ir_pwr,std_ir_pwr,eiq_ir_pwr,median_ir_pwr,mad_ir_pwr,q_10,q_90,q_5,q_95,q_1,q_99,out_sup,out_sup_rate,out_inf,out_inf_rate
111,1,16.126724,0.097868666,28.612602,3.2957501,4.616138458251953,16.393002,2.6821072,11.44597339630127,20.16327476501465,10.418352127075195,21.162935256958008,9.02721881866455,23.42090606689453,25.38410186767578,0.2798177709108674,6.919548034667969,0.09274300852759054
112,1,16.254272,0.06990619,25.387598,2.8336244,3.117816925048828,16.630682,2.1629028,11.74190902709961,19.485185623168945,10.45097541809082,20.277456283569336,8.903718948364258,21.705873489379883,22.791749954223633,0.23671318186602272,10.32048225402832,4.564274976517337
113,1,16.079283,0.05825516,29.199818,3.276573,4.634781837463379,16.327757,2.6696358,11.506558418273926,20.067737579345703,10.453306198120117,21.07205581665039,9.017897605895996,23.43721580505371,25.363133907318115,0.3469401940243672,6.8240065574646,0.09035935219295196
114,1,16.297348,0.0745666,25.28507,2.856005,3.199373245239258,16.679617,2.1882648,11.772202491760254,19.555091857910156,10.45097541809082,20.324060440063477,8.83148193359375,21.710535049438477,23.002631187438965,0.14834585435892547,10.205138206481934,4.186053900979639
115,1,15.209172,0.09087805,28.866596,2.765211,3.9590206146240234,15.316446,2.2473533,11.630060195922852,18.595046997070312,10.656033515930176,19.4409122467041,9.122757911682129,21.6149959564209,23.11215114593506,0.5949697649710558,7.276068687438965,0.13007516557277754
116,1,15.663983,0.06524578,24.27143,2.4472184,2.8078994750976562,15.947932,1.8846002,11.888711929321289,18.499507904052734,10.835458755493164,19.205562591552734,9.4326753616333,20.517467498779297,21.504310607910156,0.22995901248689352,10.272712707519531,2.876274902297207
117,1,15.398235,0.03262289,29.947813,3.134146,4.776920318603516,15.547136,2.6056077,11.383058547973633,19.23818588256836,10.497579574584961,20.13997459411621,8.8058500289917,22.95952606201172,24.877277374267578,0.39420117168106444,5.769596099853516,0.05957700327673518
118,1,16.202166,0.06524578,25.380608,2.7699547,3.0735416412353516,16.535145,2.1131535,11.909684181213379,19.38265609741211,10.593117713928223,20.188907623291016,8.852453231811523,21.5614013671875,22.62979793548584,0.21983739579071956,10.335631370544434,4.172144397621705
119,1,15.669755,0.079227015,29.81266,3.3889787,5.261605262756348,15.91531,2.8403049,11.289850234985352,19.84636878967285,10.294851303100586,20.834375381469727,8.216307640075684,23.108657836914062,26.11928129196167,0.0726840883409559,5.072860240936279,0.03713640579169058
120,1,16.511112,0.08388742,27.08865,2.8683484,3.1574296951293945,16.900986,2.1784375,12.105422019958496,19.74850082397461,10.602438926696777,20.52678871154785,8.577489852905273,21.868986129760742,23.140113353729248,0.1370301009455077,10.51039457321167,4.74104289836537
121,1,18.673697,0.09320825,36.69842,3.869338,5.538902282714844,19.033127,3.1536071,13.650348663330078,23.306724548339844,11.765212059020996,24.290071487426758,8.554187774658203,26.140254974365234,29.897716522216797,0.02482251898922703,7.742107391357422,0.5582088070297374
122,1,22.166908,0.046604127,46.475964,5.7782907,7.086158752441406,21.855005,4.4856324,14.848074913024902,29.854602813720703,12.613407135009766,32.28034973144531,8.947992324829102,36.367530822753906,36.33607482910156,1.0151719755341966,7.9914398193359375,0.6213758042735722
123,1,18.923803,0.055924952,48.419353,5.347417,6.687694549560547,18.688255,4.1433477,12.76253890991211,25.706836700439453,11.038187026977539,28.45880889892578,6.29621696472168,33.50137710571289,32.024030685424805,1.722948942592946,5.273252487182617,0.5100536076750923
124,1,19.249493,0.06990619,41.496315,4.507173,5.401420593261719,19.361685,3.4417286,13.680641174316406,24.679216384887695,11.692975044250488,26.62959861755371,7.62676477432251,30.618913650512695,30.034034729003906,1.2969218212904878,8.428352355957031,1.4526080420670524
125,1,16.347479,0.0745666,32.965427,3.2804658,4.532251358032227,16.37902,2.619665,12.357083320617676,20.417268753051758,10.989253044128418,21.365663528442383,7.424036979675293,23.318376541137695,25.52857494354248,0.14318453527582387,7.399569511413574,0.9871987862082113
126,1,20.777864,0.048934333,48.92035,6.0472975,7.68269157409668,20.613007,4.691875,13.582773208618164,28.32132911682129,11.440497016906741,30.945140838623047,5.601816177368164,36.65647506713867,36.0051851272583,1.186717344422071,5.274418830871582,0.8523077045280336
127,1,18.087152,0.05825516,43.523598,4.8444266,6.042224884033203,17.898314,3.7315447,12.611076354980469,24.010448455810547,10.98226261138916,26.217153549194336,5.990960597991943,31.919166564941406,29.98625946044922,1.73763153870748,5.817359924316406,0.924618565053946
128,1,19.401636,0.06524578,42.962017,4.4524612,4.986644744873047,19.375666,3.3532777,13.874049186706543,24.912235260009766,11.548502922058105,27.002431869506836,8.631083488464355,30.870574951171875,29.372257232666016,1.9449094566605305,9.425678253173828,1.7157461410605457
129,1,16.665682,0.06757598,33.361565,3.269454,4.877121925354004,17.031479,2.7074323,12.347763061523438,20.58504295349121,10.96129035949707,21.356342315673828,8.5169038772583,22.936222076416016,26.507262706756592,0.0027801662936610223,6.998775005340576,0.22201613687950164
130,1,18.16423,0.048934333,43.58651,3.6417768,3.800567626953125,18.53679,2.6913192,12.958277702331543,22.053075790405273,11.03981857299805,23.374300003051758,8.773226737976074,26.774070739746094,25.98529815673828,1.4230818877778992,10.783027648925781,4.402895413609238
131,1,17.737352,0.08854784,33.15651,3.7677362,5.098491668701172,17.933268,3.0056398,13.051486015319824,22.33502769470215,11.031196594238281,23.40459442138672,7.7106523513793945,25.5390625,28.07898712158203,0.10803554051531364,7.685020446777344,0.9784763016892469
132,1,20.90633,0.01864165,47.314842,5.953724,7.7549285888671875,20.354355,4.700253,13.918322563171387,28.971454620361328,11.56015396118164,31.280691146850586,7.2646280908584595,35.53098678588867,36.36753463745117,0.7218603542775439,5.347820281982422,0.3584478512987529
133,1,18.00737,0.048934333,39.15912,3.8323236,5.15208625793457,18.147646,3.033546,13.26120376586914,22.547077178955078,11.823467254638672,23.898597717285156,8.314176559448242,27.270404815673828,28.30618190765381,0.6219802086374224,7.697836875915527,0.7024086838922616
134,1,20.096264,0.011651032,46.047207,5.55328,6.720315933227539,19.699566,4.2854714,13.366063117980957,27.507152938842854,11.022341537475588,29.847612380981445,7.198007106781006,34.2027702331543,33.508368492126465,1.3720720094529784,6.627104759216309,0.7403509120336812
135,1,17.70922,0.023302063,42.76395,4.55154,5.783573150634766,17.660633,3.5412326,12.252224922180176,23.17856216430664,10.490589141845703,25.285070419311523,6.634097099304199,30.048009872436523,29.17884635925293,1.375785148748826,6.044553756713867,0.7603754813162896
